,Unnamed: 0,Unnamed: 1,Unnamed: 2,CRS_BIS,CRS_M1,CRS_M2,CRS_M3,Climate Speech Score,Climate Similarity Metric,Unnamed: 9
39,2022-11-09,Deutsche Bundesbank,Sabine Mauderer: Putting our money where our mouths are - joint efforts to finance the global green transition,1,1,1,1,1.72250035532617,0.70962647998513,r221109j
40,2022-11-09,State Bank of Pakistan,Jameel Ahmad: Launch of Environmental and Social Risk Management Manual,1,1,1,1,1.5342093295741,0.7307035027787,r221121r
41,2022-11-08,National Bank of Belgium,"Pierre Wunsch: Germs, war and central banks ",0,1,1,0,0.112673499993957,0.36780643415144,r221118e
42,2022-11-06,Monetary Authority of Singapore,"Ravi Menon: Singapore as convenor, catalyst and contributor for climate action",1,1,1,1,1.14755965022648,0.54245610991154,r221107d
43,2022-11-04,European Central Bank,Luis de Guindos: The euro area economy and the energy transition,1,1,1,1,1.01372085923806,0.52511364543433,r221104l
44,2022-11-03,Central Bank of the Republic of Kosovo,Fehmi Mehmeti: The banking sector is able to withstand possible negative shocks,1,1,1,1,0.63870547642516,0.55604261616953,r221109b
45,2022-11-03,Bank of Namibia,Johannes !Gawaxab: Maximising economic growth from renewable and non-renewable energy sources in Namibia,1,1,0,1,0.458389512212916,0.50068375611209,r221125h
46,2022-11-02,Bank of France,François Villeroy de Galhau: Financial regulation - a French perspective,1,0,0,0,0.0662866714313798,0.44524849101861,r221103d
47,2022-11-02,Monetary Authority of Singapore,Lawrence Wong: Opening address – Singapore FinTech Festival 2022,0,1,1,0,0.434441282820848,0.48487656831904,r221104i
48,2022-10-31,Danmarks Nationalbank,Signe Krogstrup: Speech - National Bank of Denmark's conference marking the 40th anniversary of the Danish fixed exchange rate regime,0,1,0,0,-0.0033374625985602,0.3098017242627,r221102b
49,2022-10-27,Reserve Bank of New Zealand,Adrian Orr: Testing our resilience,0,1,0,0,0.22262363250732,0.42440767306908,r221027b
50,2022-10-27,Bank of France,"François Villeroy de Galhau: Past progress induces new challenges - raising the stakes for standard disclosure, supervisory requirement and collective governance",1,1,1,1,1.49636504186228,0.68703239984087,r221028d
51,2022-10-24,Bank of France,Sylvie Goulard: Central banking in the Anthropocene - how to re-embed our economic and financial systems within planetary boundaries?,1,1,1,1,1.37877932924092,0.70748352916159,r221025a
52,2022-10-20,Bank of France,Denis Beau: Between mounting risks and financial innovation - the fintech ecosystem at a crossroads,0,0,0,1,0.410689533910728,0.51460601913619,r221021e
53,2022-10-19,Bank of Japan,"Seiji Adachi: Economic activity, prices, and monetary policy in Japan",0,1,0,0,0.07627247287237,0.33822343329841,r221026a
54,2022-10-19,Central Bank of the Philippines,Felipe M Medalla: Economic prospects and the state of the thrift banking industry,1,1,0,0,0.178195679411062,0.47181239673693,r221028g
55,2022-10-18,Reserve Bank of Australia,Michele Bullock: Policymaking at the Reserve Bank of Australia,0,1,0,0,-0.0724707629768386,0.37488679954572,r221019a
56,2022-10-18,Central Bank of Ireland,Sharon Donnery: No time to wait - addressing climate risk in the financial system today ,1,1,1,1,2.37513216577097,0.80177598253083,r221028q
57,2022-10-18,Deutsche Bundesbank,"Joachim Nagel: High inflation, weak growth – the priorities of monetary, fiscal and economic policy",0,1,0,0,0.300582472204407,0.40492229700745,r221111b
58,2022-10-17,Bank of Spain,Pablo Hernández de Cos: Testimony before the Parliamentary Budget Committee,1,1,1,0,0.362924881653504,0.35002733501584,r221028t
59,2022-10-14,Bank of Italy,Ignazio Visco: Statement - meeting of the Development Committee,1,1,0,1,0.675118276145941,0.50954527675575,r221017j
